cod;nome;período;valor
5208707;52;2010;31
5300108;53;2010;66
1100205;11;2011;19
1200401;12;2011;7
1302603;13;2011;56
1400100;14;2011;4
1501402;15;2011;45
1600303;16;2011;8
1721000;17;2011;7
2111300;21;2011;26
2211001;22;2011;10
2304400;23;2011;80
2408102;24;2011;22
2507507;25;2011;39
2611606;26;2011;51
2704302;27;2011;54
2800308;28;2011;14
2927408;29;2011;126
3106200;31;2011;91
3205309;32;2011;13
3304557;33;2011;118
3550308;35;2011;123
4106902;41;2011;49
4205407;42;2011;6
4314902;43;2011;33
5002704;50;2011;22
5103403;51;2011;14
5208707;52;2011;54
5300108;53;2011;79
1100205;11;2012;18
1200401;12;2012;10
1302603;13;2012;70
1400100;14;2012;7
1501402;15;2012;63
1600303;16;2012;6
1721000;17;2012;7
2111300;21;2012;18
2211001;22;2012;23
2304400;23;2012;89
2408102;24;2012;18
2507507;25;2012;40
2611606;26;2012;37
2704302;27;2012;51
2800308;28;2012;17
2927408;29;2012;126
3106200;31;2012;94
3205309;32;2012;11
3304557;33;2012;107
3550308;35;2012;149
4106902;41;2012;54
4205407;42;2012;6
4314902;43;2012;48
5002704;50;2012;14
5103403;51;2012;28
5208707;52;2012;54
5300108;53;2012;77
1100205;11;2013;20
1200401;12;2013;14
1302603;13;2013;62
1400100;14;2013;14
1501402;15;2013;55
1600303;16;2013;13
1721000;17;2013;10
2111300;21;2013;33
2211001;22;2013;14
2304400;23;2013;125
2408102;24;2013;27
2507507;25;2013;38
2611606;26;2013;34
2704302;27;2013;40
2800308;28;2013;16
2927408;29;2013;103
3106200;31;2013;59
3205309;32;2013;15
3304557;33;2013;107
3550308;35;2013;164
4106902;41;2013;47
4205407;42;2013;8
4314902;43;2013;32
5002704;50;2013;17
5103403;51;2013;16
5208707;52;2013;53
5300108;53;2013;78
1100205;11;2014;15
1200401;12;2014;12
1302603;13;2014;55
1400100;14;2014;8
1501402;15;2014;63
1600303;16;2014;17
1721000;17;2014;10
2111300;21;2014;36
2211001;22;2014;25
2304400;23;2014;127
2408102;24;2014;41
2507507;25;2014;46
2611606;26;2014;30
2704302;27;2014;45
2800308;28;2014;16
2927408;29;2014;92
3106200;31;2014;38
3205309;32;2014;16
3304557;33;2014;124
3550308;35;2014;165
4106902;41;2014;57
4205407;42;2014;7
4314902;43;2014;41
5002704;50;2014;20
5103403;51;2014;17
5208707;52;2014;80
5300108;53;2014;60
1100205;11;2015;19
1200401;12;2015;12
1302603;13;2015;77
1400100;14;2015;12
1501402;15;2015;53
1600303;16;2015;11
1721000;17;2015;8
2111300;21;2015;34
2211001;22;2015;23
2304400;23;2015;97
2408102;24;2015;24
2507507;25;2015;32
2611606;26;2015;40
2704302;27;2015;46
2800308;28;2015;21
2927408;29;2015;92
3106200;31;2015;50
3205309;32;2015;11
3304557;33;2015;121
3550308;35;2015;126
4106902;41;2015;44
4205407;42;2015;5
4314902;43;2015;52
5002704;50;2015;14
5103403;51;2015;26
5208707;52;2015;50
5300108;53;2015;58
1200401;12;2016;9
1302603;13;2016;72
1400100;14;2016;9
1501402;15;2016;76
1600303;16;2016;12
1721000;17;2016;7
2111300;21;2016;26
2211001;22;2016;12
2304400;23;2016;66
2408102;24;2016;36
2507507;25;2016;23
2611606;26;2016;44
2704302;27;2016;28
1100205;11;2016;19
2800308;28;2016;13
2927408;29;2016;93
3106200;31;2016;32
3205309;32;2016;3
3304557;33;2016;146
3550308;35;2016;96
4106902;41;2016;37
4205407;42;2016;7
4314902;43;2016;68
5002704;50;2016;21
5103403;51;2016;8
5208707;52;2016;46
5300108;53;2016;64
1100205;11;2017;18
